val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time	gpu_get_time	gpu_send_time	gpu_copy_to_time	gpu_copy_from_time	cpu_get_time	cpu_send_time
32	1.531517	1.337003	0.039165	0.248064	1.496228	1.368528	0.012113	11.897886	1297.750380	0.171360	25.778756	0.041875	1356.312902	0.069007
64	3.072608	1.332734	0.032769	0.206998	2.872881	1.425397	0.023633	23.439923	1299.876265	0.188571	18.306626	0.042416	1401.655667	0.056275
128	5.363572	1.526824	0.026603	0.245742	5.294816	1.546673	0.045305	45.114096	1500.118813	0.200020	12.137305	0.043564	1501.255552	0.058974
256	9.442579	1.734248	0.024772	0.243805	8.956774	1.828391	0.089046	88.841642	1709.390595	0.186795	10.912197	0.042724	1739.228136	0.068240
512	11.628680	2.816238	0.025596	0.281476	11.615603	2.819498	0.174687	174.496125	2790.483815	0.182399	11.801404	0.042681	2644.704440	0.056067
1024	11.643312	5.625045	0.031330	0.262792	11.678897	5.608634	0.345918	345.716331	5593.405715	0.201020	16.458500	0.039694	5262.599239	0.065434
2048	11.665176	11.227412	0.036582	0.580982	11.510636	11.381440	0.701313	701.085263	11189.894011	0.205594	20.879855	0.047948	10679.941198	0.084895
4096	11.610424	22.553077	0.050916	1.258894	11.595911	22.595669	1.382771	1382.547046	22498.089372	0.352419	32.578905	0.045968	21212.735230	0.085339
8192	11.634012	44.986465	0.075005	2.446583	11.689055	44.831333	2.768573	2768.312590	44895.835749	0.321486	54.998390	0.040388	42062.599132	0.088278
16384	11.671175	89.554625	0.118904	4.073330	11.479529	91.237697	5.582232	5581.835294	89415.985549	0.343023	96.760116	0.034884	85655.073529	0.132353
