val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time	gpu_get_time	gpu_send_time	gpu_copy_to_time	gpu_copy_from_time	cpu_get_time	cpu_send_time
32	1.429961	22.919427	0.486720	0.314035	1.336878	1.531613	0.012926	12.692957	22409.677201	0.877167	58.929270	61.166541	1518.505563	0.079319
64	2.807500	23.344091	0.488439	0.319284	2.748507	1.489908	0.024248	24.037146	22834.132175	1.421331	65.307402	63.350983	1465.536712	0.069040
128	5.208235	25.170259	0.546901	0.494163	5.122612	1.598668	0.045425	45.227501	24593.558632	1.692496	68.208469	61.746330	1553.137607	0.059292
256	9.038799	28.981877	0.550220	0.833365	8.868877	1.846501	0.088604	88.397958	28414.108818	2.999060	78.128518	62.329887	1757.775794	0.065500
512	11.728224	44.641651	0.546278	1.431080	11.540574	2.837789	0.177486	177.280785	44071.037572	5.373913	97.465318	62.555072	2660.173426	0.071297
1024	11.668575	89.634499	0.508991	2.037268	11.709702	5.593858	0.343994	343.794469	89051.049275	17.259475	145.223188	63.090379	5249.751446	0.064353
2048	11.667510	178.726854	1.509386	5.342027	11.737666	11.161273	0.684886	684.678803	177111.294798	59.964912	1161.942197	61.479532	10476.272170	0.078226
4096	11.661173	359.070929	2.203329	9.710820	11.663192	22.465212	1.383195	1382.964467	353186.080460	239.211765	1664.390805	61.952941	21081.799855	0.081218
8192	11.395671	718.803000	4.072415	18.861848	11.670803	44.901483	2.754184	2753.914493	714617.744186	935.000000	2877.465116	61.195122	42147.004348	0.089855
16384	11.390430	1450.676400	10.318650	50.419662	11.724188	89.393945	5.460014	5459.682997	1394859.045455	3799.850000	6224.727273	65.450000	83933.631124	0.121037
