val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time	gpu_get_time	gpu_send_time	gpu_copy_to_time	gpu_copy_from_time	cpu_get_time	cpu_send_time
32	1.809505	18.103365	0.527003	0.486478	1.773961	1.154224	0.012234	11.992632	17564.377063	1.478677	56.069505	61.727589	1141.881496	0.087078
64	3.481975	18.812052	0.538712	0.491145	3.368739	1.215549	0.023404	23.193940	18262.958596	1.610460	59.072007	62.082056	1192.041156	0.071400
128	5.896090	22.190624	0.452481	0.308957	6.214941	1.317611	0.045598	45.392284	21748.251860	1.184239	79.775770	72.523962	1271.914092	0.075776
256	9.990479	26.218747	0.508599	0.665880	9.997032	1.638032	0.089431	89.213565	25686.401506	2.550943	90.420326	69.825157	1548.491825	0.080889
512	11.637364	44.999205	0.556924	1.318862	11.671551	2.806009	0.174625	174.402867	44376.909677	11.384449	103.492473	62.064795	2631.282154	0.084539
1024	11.378799	92.034142	0.584310	2.413677	11.651548	5.621789	0.350792	350.547868	91120.785088	19.942478	158.355263	68.185841	5270.877447	0.103781
2048	11.722753	178.785431	1.480672	4.542409	11.616879	11.277349	0.697558	697.227419	175819.610169	62.362069	1129.161017	59.370690	10579.625806	0.175806
4096	11.618906	359.442193	2.002842	6.398681	11.715048	22.365850	1.384806	1384.523454	352698.406780	240.929825	1494.661017	61.964912	20980.881663	0.130064
8192	11.026780	738.512227	4.855318	17.747411	11.647730	44.990547	2.793888	2793.525751	723962.000000	1221.727273	3312.750000	70.681818	42196.416309	0.171674
16384	10.846033	1437.660400	9.013200	25.076294	11.435485	91.280478	5.641283	5640.791304	1317302.714286	4377.600000	4269.142857	60.800000	85638.773913	0.173913
