val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time	gpu_get_time	gpu_send_time	gpu_copy_to_time	gpu_copy_from_time	cpu_get_time	cpu_send_time
32	2.060292	15.882170	0.466641	0.324766	1.714448	1.194230	0.014306	14.047523	15419.183847	1.284345	73.826780	74.834931	1179.777958	0.090530
64	3.294956	19.881362	0.560092	0.502788	3.346438	1.223600	0.025974	25.737825	19307.809705	1.786463	77.186489	75.849380	1197.507200	0.095704
128	5.981049	21.883137	0.562492	0.509217	6.146132	1.332343	0.049583	49.366488	21323.066038	1.851891	83.865828	76.254202	1282.639112	0.074201
256	9.890035	26.466155	0.592704	0.831260	10.034711	1.631805	0.099611	99.375896	25867.120406	2.735705	102.934094	84.487929	1532.052074	0.077877
512	14.449297	36.164228	0.603805	1.354596	15.257978	2.146032	0.185103	184.864419	35593.944541	7.342609	127.998267	77.349565	1960.789916	0.074093
1024	17.155108	60.939748	0.644801	2.448387	18.133059	3.611161	0.372055	371.797276	60251.081633	12.439883	182.548105	84.199413	3238.923979	0.092053
2048	17.346001	119.791017	1.537843	4.627362	18.748384	6.985262	0.746416	746.129043	118568.666667	44.110465	1106.683908	83.348837	6238.564522	0.102701
4096	17.169849	239.584865	2.422608	9.307145	18.879259	13.873839	1.477118	1476.782925	238466.052632	193.337838	1852.210526	80.270270	12396.324289	0.123097
8192	16.857682	487.269829	4.338439	20.562732	18.920506	27.687682	2.938956	2938.456464	481359.395349	675.487805	3318.069767	76.390244	24748.125330	0.184697
16384	16.593464	954.101647	9.767294	41.566664	18.983763	55.191655	5.748984	5748.513158	944235.315789	3166.352941	6286.157895	71.352941	49442.210526	0.173684
