val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time	gpu_get_time	gpu_send_time	gpu_copy_to_time	gpu_copy_from_time	cpu_get_time	cpu_send_time
32	1.479948	1.383593	0.451757	0.277875	1.772988	1.154832	0.013121	12.891158	931.754154	0.137665	8.156963	428.122670	1141.593498	0.072138
64	2.823230	1.450634	0.463934	0.277947	3.349529	1.222499	0.026172	25.961624	986.487571	0.149514	8.465074	439.835139	1196.189311	0.060164
128	5.216640	1.569822	0.480373	0.277047	6.152824	1.330918	0.049964	49.749841	1089.408189	0.154193	9.031555	455.789074	1280.807008	0.066323
256	8.948931	1.830120	0.533881	0.278082	10.336847	1.584137	0.096343	96.141214	1296.008933	0.134548	9.177439	508.971268	1487.659225	0.062964
512	13.555498	2.415864	0.631809	0.280195	15.342559	2.134202	0.184870	184.662964	1783.819191	0.140611	11.117919	605.148127	1949.189462	0.061455
1024	18.294367	3.578755	0.679161	0.311423	18.563224	3.527480	0.362196	361.969340	2899.848407	0.150103	13.444159	651.153016	3165.118430	0.073282
2048	19.196478	6.819395	0.866717	0.514479	18.965909	6.905273	0.722555	722.322241	5953.786367	0.146214	21.840835	827.017950	6182.480395	0.071829
4096	18.957002	13.802909	2.062128	1.114154	19.066414	13.737870	1.430001	1429.773263	11748.379538	0.152677	33.456766	2009.259088	12307.583879	0.072739
8192	19.336756	27.042847	3.605949	2.431716	19.373459	27.040850	2.750339	2750.081290	23456.269795	0.176471	50.621701	3537.101471	24290.380645	0.089032
16384	19.015285	54.907522	6.219309	4.785316	19.014855	55.101814	5.606790	5606.425197	48766.740157	0.179420	97.758530	6098.274406	49494.700787	0.125984
